freq,sex,wstatus,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,F,INAC,THS_PER,CY	3.1 	3.9 	4.4 	4.0 
A,F,INAC,THS_PER,CZ	33.2 	29.5 	28.4 	36.2 
A,F,INAC,THS_PER,DE	265.2 	286.1 	303.9 	322.7 
A,F,INAC,THS_PER,DK	13.6 	12.2 	12.8 b	13.5 
A,F,INAC,THS_PER,EE	10.7 	10.7 	9.4 	8.1 
A,F,INAC,THS_PER,EL	45.7 	36.6 	25.1 	40.2 
A,F,INAC,THS_PER,ES	125.0 d	145.3 d	120.7 d	146.7 d
A,F,INAC,THS_PER,FI	14.0 	15.1 	17.9 	19.0 
A,F,INAC,THS_PER,FR	222.2 d	176.6 d	219.1 d	189.9 d
A,F,INAC,THS_PER,HR	11.5 	12.9 	10.6 	9.4 u
A,F,INAC,THS_PER,HU	27.2 	26.3 	25.6 	20.6 
A,F,INAC,THS_PER,IE	16.9 	18.7 	20.4 	18.6 
A,F,INAC,THS_PER,IT	180.9 	183.2 	186.3 	202.3 
A,F,INAC,THS_PER,LT	16.9 	17.1 	17.6 	15.0 
A,F,INAC,THS_PER,LU	2.5 	2.5 	2.7 u	3.0 u
A,F,INAC,THS_PER,LV	9.5 	8.2 	9.3 	8.2 
A,F,INAC,THS_PER,MT	1.2 	0.6 u	1.0 u	1.0 u
A,F,INAC,THS_PER,NL	47.4 	37.6 	38.6 	39.8 
A,F,INAC,THS_PER,PL	143.0 	141.9 	144.4 	142.7 
A,F,INAC,THS_PER,PT	23.2 	22.3 	27.8 	24.6 
A,F,INAC,THS_PER,RO	51.3 	52.0 	51.3 	57.0 
A,F,INAC,THS_PER,SE	21.8 	27.0 	24.5 	27.4 
A,F,INAC,THS_PER,SI	4.8 u	5.2 	4.2 bu	4.7 u
A,F,INAC,THS_PER,SK	19.1 	16.7 	16.4 	17.2 
A,F,TOTAL,PC_POP,AT	3.84 	3.91 	3.95 	4.81 
A,F,TOTAL,PC_POP,BE	3.88 	4.12 	4.44 	4.04 
A,F,TOTAL,PC_POP,BG	4.77 	4.71 	5.16 	4.54 b
A,F,TOTAL,PC_POP,CY	5.25 	5.67 	6.42 	6.11 
A,F,TOTAL,PC_POP,CZ	3.18 	2.91 	3.11 	3.37 
A,F,TOTAL,PC_POP,DE	3.75 	3.88 	4.00 	4.20 
A,F,TOTAL,PC_POP,DK	4.14 	4.36 	4.67 b	4.64 
A,F,TOTAL,PC_POP,EE	8.67 	8.74 	8.58 	7.92 
A,F,TOTAL,PC_POP,EL	4.69 	4.10 	3.97 	4.41 
A,F,TOTAL,PC_POP,ES	4.37 d	4.82 d	4.51 d	4.79 d
