freq,sex,wstatus,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,M,TOTAL,THS_PER,ES	2624.9 d	2649.2 d	2731.9 d	2684.4 d
A,M,TOTAL,THS_PER,FI	308.4 	318.1 	334.4 	330.4 
A,M,TOTAL,THS_PER,FR	3103.5 d	3047.7 d	3199.3 d	3210.8 d
A,M,TOTAL,THS_PER,HR	113.8 	106.8 	115.6 	128.1 
A,M,TOTAL,THS_PER,HU	343.1 	335.6 	323.6 	331.6 
A,M,TOTAL,THS_PER,IE	244.6 	275.4 	311.7 	350.0 
A,M,TOTAL,THS_PER,IT	1070.0 	1076.6 	1184.0 	1230.7 
A,M,TOTAL,THS_PER,LT	161.9 	166.5 	169.8 	171.7 
A,M,TOTAL,THS_PER,LU	33.4 	34.8 	36.5 	38.8 
A,M,TOTAL,THS_PER,LV	66.1 	65.6 	74.2 	70.2 
A,M,TOTAL,THS_PER,MT	18.9 	19.2 	21.4 	22.3 
A,M,TOTAL,THS_PER,NL	744.4 	765.0 	735.6 	776.9 
A,M,TOTAL,THS_PER,PL	1269.4 	1286.5 	1419.4 	1500.8 
A,M,TOTAL,THS_PER,PT	266.5 	285.3 	305.6 	339.6 
A,M,TOTAL,THS_PER,RO	447.7 	477.0 	442.3 	471.4 
A,M,TOTAL,THS_PER,SE	538.4 	564.4 	581.1 	590.4 
A,M,TOTAL,THS_PER,SI	106.6 	101.6 	78.3 b	79.6 
A,M,TOTAL,THS_PER,SK	193.6 	196.1 	198.8 	195.6 
A,M,UNE,PC_POP,AT	9.26 	10.19 	9.91 	11.11 
A,M,UNE,PC_POP,BE	8.23 	7.26 	5.98 	7.44 
A,M,UNE,PC_POP,BG	4.47 u	: u	: u	: bu
A,M,UNE,PC_POP,CY	9.60 	14.09 	15.89 	9.02 u
A,M,UNE,PC_POP,CZ	4.20 u	3.81 u	4.37 u	5.96 
A,M,UNE,PC_POP,DE	9.10 	9.53 	9.81 	9.94 
A,M,UNE,PC_POP,DK	10.33 	9.02 	11.04 b	8.88 
A,M,UNE,PC_POP,EE	7.47 u	9.91 	: u	7.39 u
A,M,UNE,PC_POP,EL	7.26 	9.64 	8.25 	8.73 
A,M,UNE,PC_POP,ES	10.01 d	11.00 d	8.90 d	8.76 d
A,M,UNE,PC_POP,FI	10.36 	11.82 	7.99 	10.10 
A,M,UNE,PC_POP,FR	9.46 d	8.93 d	9.15 d	8.80 d
A,M,UNE,PC_POP,HR	3.40 u	3.73 u	3.50 u	6.58 u
A,M,UNE,PC_POP,HU	4.32 u	3.77 u	3.58 u	5.56 
A,M,UNE,PC_POP,IE	8.47 u	: u	12.15 u	14.12 
A,M,UNE,PC_POP,IT	1.73 	2.05 	2.37 	2.47 
A,M,UNE,PC_POP,LT	8.83 	11.09 	11.11 	12.84 
A,M,UNE,PC_POP,LU	9.89 u	16.67 	: u	: u
A,M,UNE,PC_POP,LV	5.22 u	6.19 u	: u	5.57 u
A,M,UNE,PC_POP,MT	: u	7.81 u	: u	7.94 u
A,M,UNE,PC_POP,NL	8.72 	8.63 	8.35 	9.77 
A,M,UNE,PC_POP,PL	3.43 u	4.00 u	4.92 u	5.61 u
A,M,UNE,PC_POP,PT	6.39 	4.84 u	7.03 	8.23 
A,M,UNE,PC_POP,RO	2.40 u	2.46 u	: u	: u
A,M,UNE,PC_POP,SE	8.53 	6.67 	7.35 	8.37 
A,M,UNE,PC_POP,SI	8.94 u	9.57 u	5.47 bu	: u
A,M,UNE,PC_POP,SK	: u	: u	: u	: u
A,M,UNE,THS_PER,AT	14.1 	12.4 	13.2 	15.4 
A,M,UNE,THS_PER,BE	15.0 	11.9 	10.1 	13.0 
A,M,UNE,THS_PER,BG	3.9 u	: u	: u	: bu
A,M,UNE,THS_PER,CY	1.7 	2.1 	2.4 	1.1 u
A,M,UNE,THS_PER,CZ	2.9 u	2.0 u	2.8 u	3.9 
A,M,UNE,THS_PER,DE	80.8 	73.8 	75.0 	83.8 
A,M,UNE,THS_PER,DK	8.4 	6.5 	9.1 b	9.0 
A,M,UNE,THS_PER,EE	1.8 u	2.2 	: u	2.1 u
A,M,UNE,THS_PER,EL	21.1 	23.6 	18.3 	18.4 
A,M,UNE,THS_PER,ES	163.6 d	157.2 d	120.9 d	114.8 d
A,M,UNE,THS_PER,FI	12.3 	12.2 	9.2 	13.6 
A,M,UNE,THS_PER,FR	115.9 d	104.4 d	107.5 d	106.0 d
A,M,UNE,THS_PER,HR	2.2 u	2.0 u	1.8 u	3.1 u
A,M,UNE,THS_PER,HU	4.3 u	3.6 u	3.8 u	6.6 
A,M,UNE,THS_PER,IE	7.5 u	: u	7.9 u	9.8 
A,M,UNE,THS_PER,IT	21.4 	21.0 	23.4 	21.2 
A,M,UNE,THS_PER,LT	5.0 	5.3 	6.3 	8.0 
A,M,UNE,THS_PER,LU	0.9 u	1.3 	: u	: u
A,M,UNE,THS_PER,LV	2.1 u	2.4 u	: u	2.1 u
A,M,UNE,THS_PER,MT	: u	0.5 u	: u	0.5 u
A,M,UNE,THS_PER,NL	17.6 	14.8 	15.0 	18.3 
A,M,UNE,THS_PER,PL	11.2 u	11.0 u	13.2 u	14.5 u
A,M,UNE,THS_PER,PT	10.7 	7.4 u	11.8 	13.7 
A,M,UNE,THS_PER,RO	6.9 u	7.1 u	: u	: u
A,M,UNE,THS_PER,SE	21.5 	14.0 	16.5 	20.7 
A,M,UNE,THS_PER,SI	2.1 u	2.0 u	1.1 bu	: u
A,M,UNE,THS_PER,SK	: u	: u	: u	: u
