freq,statinfo,unit,isced11,life_sat,sex,age,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,NL	7.7 	7.7 	7.6 	7.6 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,NO	7.6 	7.8 	7.6 	7.6 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,PL	7.5 u	7.6 u	7.6 u	7.6 u
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,PT	: u	7.1 u	7.2 u	7.4 u
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,RO	7.7 	7.7 	7.8 	7.8 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,RS	6.0 	6.2 	6.5 	6.5 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,SE	7.6 	7.5 	7.4 	7.4 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,SI	7.6 	7.6 	7.7 b	7.6 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,SK	7.1 	7.1 	7.3 	7.3 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,TR	5.5 	5.3 	5.6 	5.7 
