freq,unit,age,sex,isced11,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,NR,TOTAL,F,ED8,HU	4878 	5168 	5246 	5300 
A,NR,TOTAL,F,ED8,IE	5198 	5512 	5810 	5982 
A,NR,TOTAL,F,ED8,IS	389 	389 	443 	: 
A,NR,TOTAL,F,ED8,IT	15977 	18144 	20601 	23500 
A,NR,TOTAL,F,ED8,LI	53 	66 	: 	: 
A,NR,TOTAL,F,ED8,LT	1544 	1509 	1506 	1475 
A,NR,TOTAL,F,ED8,LU	403 	445 	434 	468 
A,NR,TOTAL,F,ED8,LV	1093 	1075 	1999 	2073 
A,NR,TOTAL,F,ED8,ME	52 	: 	67 	127 
A,NR,TOTAL,F,ED8,MK	266 	359 	463 	511 
A,NR,TOTAL,F,ED8,MT	302 bd	290 	380 	345 
A,NR,TOTAL,F,ED8,NL	8143 e	: 	21434 	20988 
A,NR,TOTAL,F,ED8,NO	5037 	5260 	5553 	5804 
A,NR,TOTAL,F,ED8,PL	16549 	14303 	12255 	10524 
A,NR,TOTAL,F,ED8,PT	12221 	12830 	13242 	13627 
A,NR,TOTAL,F,ED8,RO	11856 	11541 	11537 	11281 
A,NR,TOTAL,F,ED8,RS	6582 	6834 	7006 	7084 
A,NR,TOTAL,F,ED8,SE	9561 	9816 	9993 	10248 
A,NR,TOTAL,F,ED8,SI	1907 	1880 	1890 	1976 
A,NR,TOTAL,F,ED8,SK	3135 	3103 	2937 	2927 
A,NR,TOTAL,F,ED8,TR	71749 	53361 	80415 	54862 
A,NR,TOTAL,M,ED5,AL	3664 	4223 	4343 	4190 
A,NR,TOTAL,M,ED5,AT	34070 	34034 	32888 	32644 
A,NR,TOTAL,M,ED5,BA	: m	43 	81 	83 
A,NR,TOTAL,M,ED5,BE	10929 	11886 	13189 	14556 
A,NR,TOTAL,M,ED5,BG	: m	: m	: m	: m
A,NR,TOTAL,M,ED5,CH	1301 	1327 	1114 	988 
A,NR,TOTAL,M,ED5,CY	2512 	2132 	1757 	1918 
A,NR,TOTAL,M,ED5,CZ	394 	383 	397 	410 
A,NR,TOTAL,M,ED5,DE	5874 	6200 	6103 	6512 
A,NR,TOTAL,M,ED5,DK	19303 	19211 	17536 	15912 
A,NR,TOTAL,M,ED5,EE	: m	: m	: m	: m
A,NR,TOTAL,M,ED5,EL	: m	: m	: m	: m
A,NR,TOTAL,M,ED5,ES	269560 	279631 	295666 	312904 
A,NR,TOTAL,M,ED5,FI	: m	: m	: m	: m
A,NR,TOTAL,M,ED5,FR	296209 	272352 	243367 	244128 
A,NR,TOTAL,M,ED5,GE	: 	: 	: m	: m
A,NR,TOTAL,M,ED5,HR	11 	7 	6 	20 
A,NR,TOTAL,M,ED5,HU	5140 	5206 	5251 	4824 
A,NR,TOTAL,M,ED5,IE	10900 	9162 	8119 	39732 
A,NR,TOTAL,M,ED5,IS	289 	308 	355 	: 
A,NR,TOTAL,M,ED5,IT	17032 	20864 	24461 	27206 
A,NR,TOTAL,M,ED5,LI	0 	0 	: 	: 
A,NR,TOTAL,M,ED5,LT	: m	: m	11 	39 
A,NR,TOTAL,M,ED5,LU	375 	395 	404 	420 
A,NR,TOTAL,M,ED5,LV	5170 	4919 	4255 	4020 
A,NR,TOTAL,M,ED5,ME	: m	: 	: m	: m
A,NR,TOTAL,M,ED5,MK	: m	: m	: m	: m
A,NR,TOTAL,M,ED5,MT	751 	710 	943 	1551 
A,NR,TOTAL,M,ED5,NL	15384 	18373 	17514 	19427 
A,NR,TOTAL,M,ED5,NO	8770 	9602 	10007 	10686 
A,NR,TOTAL,M,ED5,PL	132 	98 	27 	71 
A,NR,TOTAL,M,ED5,PT	11382 	12504 	13702 	14397 
A,NR,TOTAL,M,ED5,RO	: m	: m	: m	: m
A,NR,TOTAL,M,ED5,RS	: m	: m	: m	: m
A,NR,TOTAL,M,ED5,SE	20655 	22097 	22109 	22890 
A,NR,TOTAL,M,ED5,SI	6499 	6539 	6150 	5951 
A,NR,TOTAL,M,ED5,SK	822 	802 	838 	835 
A,NR,TOTAL,M,ED5,TR	1505909 	1567424 	1285803 	1327912 
A,NR,TOTAL,M,ED5-8,AL	48976 	50387 	50104 	49644 
A,NR,TOTAL,M,ED5-8,AT	200586 	199646 	197255 	199510 
A,NR,TOTAL,M,ED5-8,BA	33526 	31478 	30320 	29745 
A,NR,TOTAL,M,ED5-8,BE	235845 	239778 	239886 	239030 
A,NR,TOTAL,M,ED5-8,BG	103033 	101267 	97574 	83804 bd
A,NR,TOTAL,M,ED5-8,CH	162953 	165022 	163520 	163838 
A,NR,TOTAL,M,ED5-8,CY	23435 	21674 	22158 	23995 
A,NR,TOTAL,M,ED5-8,CZ	142250 	145042 	145413 	148106 
A,NR,TOTAL,M,ED5-8,DE	1687960 	1682258 	1654917 	1615553 
A,NR,TOTAL,M,ED5-8,DK	133036 	132397 	127214 	122855 
A,NR,TOTAL,M,ED5-8,EE	18504 	18096 	17696 	17785 
A,NR,TOTAL,M,ED5-8,EL	425798 	439647 	439136 	448268 
A,NR,TOTAL,M,ED5-8,ES	1035431 	1052220 	1067117 	1100448 
A,NR,TOTAL,M,ED5-8,FI	140075 	143197 	146997 	150883 
A,NR,TOTAL,M,ED5-8,FR	1261079 	1285754 	1268375 bd	1276617 
A,NR,TOTAL,M,ED5-8,GE	: 	: 	: d	: d
A,NR,TOTAL,M,ED5-8,HR	68689 	68223 	66671 	64554 
A,NR,TOTAL,M,ED5-8,HU	132310 	133421 	131948 	140576 
A,NR,TOTAL,M,ED5-8,IE	115294 	112690 	109195 	144723 
A,NR,TOTAL,M,ED5-8,IS	7529 	7446 	6899 	: 
A,NR,TOTAL,M,ED5-8,IT	924837 	940484 	967192 	1001509 
A,NR,TOTAL,M,ED5-8,LI	587 	580 	: 	: 
A,NR,TOTAL,M,ED5-8,LT	44030 	43254 	43040 	42492 
A,NR,TOTAL,M,ED5-8,LU	3593 	3598 	3773 	3974 
A,NR,TOTAL,M,ED5-8,LV	34285 	32681 	31931 	30806 
A,NR,TOTAL,M,ED5-8,ME	10011 	: 	8796 	8214 
A,NR,TOTAL,M,ED5-8,MK	23221 	23543 	24716 	23444 
A,NR,TOTAL,M,ED5-8,MT	7497 bd	7982 	8832 	9953 
A,NR,TOTAL,M,ED5-8,NL	464376 e	: 	455121 	447726 
A,NR,TOTAL,M,ED5-8,NO	129507 	132680 	129780 	129873 
A,NR,TOTAL,M,ED5-8,PL	551973 	550644 	548903 	557268 
A,NR,TOTAL,M,ED5-8,PT	187514 	193589 	198049 	198201 
A,NR,TOTAL,M,ED5-8,RO	252268 	246330 	240583 	243059 
A,NR,TOTAL,M,ED5-8,RS	103123 	102581 	102842 	102112 
A,NR,TOTAL,M,ED5-8,SE	193654 	190897 	187773 	194163 
A,NR,TOTAL,M,ED5-8,SI	34992 	34581 	33799 	33917 
A,NR,TOTAL,M,ED5-8,SK	58692 	57762 	59096 	59179 
A,NR,TOTAL,M,ED5-8,TR	4210011 	4172147 	3437924 	3395767 
A,NR,TOTAL,M,ED54,AL	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,AT	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,BA	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,BE	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,BG	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,CH	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,CY	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,CZ	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,DE	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,DK	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,EE	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,EL	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,ES	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,FI	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,FR	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,GE	: 	: 	: m	: m
A,NR,TOTAL,M,ED54,HR	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,HU	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,IE	: d	: d	: d	7379 
A,NR,TOTAL,M,ED54,IS	99 	115 	131 	: 
A,NR,TOTAL,M,ED54,IT	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,LI	0 	0 	: 	: 
A,NR,TOTAL,M,ED54,LT	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,LU	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,LV	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,ME	: m	: 	: m	: m
A,NR,TOTAL,M,ED54,MK	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,MT	460 	568 	751 	908 
A,NR,TOTAL,M,ED54,NL	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,NO	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,PL	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,PT	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,RO	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,RS	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,SE	1924 	1690 	1515 	1421 
A,NR,TOTAL,M,ED54,SI	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,SK	: m	: m	: m	: m
A,NR,TOTAL,M,ED54,TR	: m	: m	: m	: m
A,NR,TOTAL,M,ED55,AL	3664 	4223 	4343 	4190 
A,NR,TOTAL,M,ED55,AT	34070 	34034 	32888 	32644 
A,NR,TOTAL,M,ED55,BA	: m	43 	81 	83 
A,NR,TOTAL,M,ED55,BE	10929 	11886 d	13189 d	14556 
A,NR,TOTAL,M,ED55,BG	: m	: m	: m	: m
A,NR,TOTAL,M,ED55,CH	1301 	1327 	1114 	988 
A,NR,TOTAL,M,ED55,CY	2512 	2132 	1757 	1918 
A,NR,TOTAL,M,ED55,CZ	394 	383 	397 	410 
A,NR,TOTAL,M,ED55,DE	5874 	6200 	6103 	6512 
A,NR,TOTAL,M,ED55,DK	19303 	19211 	17536 	15912 
A,NR,TOTAL,M,ED55,EE	: m	: m	: m	: m
A,NR,TOTAL,M,ED55,EL	: m	: m	: m	: m
A,NR,TOTAL,M,ED55,ES	269560 	279631 	295666 	312904 
A,NR,TOTAL,M,ED55,FI	: m	: m	: m	: m
A,NR,TOTAL,M,ED55,FR	296209 	272352 	243367 	244128 
A,NR,TOTAL,M,ED55,GE	: 	: 	: m	: m
A,NR,TOTAL,M,ED55,HR	11 	7 	6 	20 
A,NR,TOTAL,M,ED55,HU	5140 	5206 	5251 	4824 
A,NR,TOTAL,M,ED55,IE	: d	: d	: d	: d
A,NR,TOTAL,M,ED55,IS	190 	193 	224 	: 
A,NR,TOTAL,M,ED55,IT	17032 	20864 	24461 	27206 
A,NR,TOTAL,M,ED55,LI	0 	0 	: 	: 
A,NR,TOTAL,M,ED55,LT	: m	: m	11 	39 
A,NR,TOTAL,M,ED55,LU	375 	395 	404 	420 
A,NR,TOTAL,M,ED55,LV	5170 	4919 	4255 	4020 
A,NR,TOTAL,M,ED55,ME	: m	: 	: m	: m
A,NR,TOTAL,M,ED55,MK	: m	: m	: m	: m
A,NR,TOTAL,M,ED55,MT	291 	143 	191 	643 
A,NR,TOTAL,M,ED55,NL	15384 	18373 	17514 	19427 
A,NR,TOTAL,M,ED55,NO	8770 	9602 	10007 	10686 
A,NR,TOTAL,M,ED55,PL	132 	98 	27 	71 
A,NR,TOTAL,M,ED55,PT	11382 	12504 	13702 	14397 
A,NR,TOTAL,M,ED55,RO	: m	: m	: m	: m
A,NR,TOTAL,M,ED55,RS	: m	: m	: m	: m
A,NR,TOTAL,M,ED55,SE	18731 	20407 	20594 	21469 
A,NR,TOTAL,M,ED55,SI	6499 	6539 	6150 	5951 
A,NR,TOTAL,M,ED55,SK	822 	802 	838 	835 
A,NR,TOTAL,M,ED55,TR	1505909 	1567424 	1285803 	1327912 
A,NR,TOTAL,M,ED6,AL	30595 	31360 	31457 	30647 
A,NR,TOTAL,M,ED6,AT	92104 	89716 	87397 	86440 
A,NR,TOTAL,M,ED6,BA	25346 	23912 	22994 	22502 
A,NR,TOTAL,M,ED6,BE	164088 	165006 	163409 	163817 
A,NR,TOTAL,M,ED6,BG	70781 	69241 	66624 	58793 bd
A,NR,TOTAL,M,ED6,CH	109516 	109660 	108276 	108319 
A,NR,TOTAL,M,ED6,CY	12715 	11210 	11986 	12767 
A,NR,TOTAL,M,ED6,CZ	86929 	89061 	89797 	92578 
A,NR,TOTAL,M,ED6,DE	1073383 	1059616 	1034717 	1001077 
A,NR,TOTAL,M,ED6,DK	79183 	78641 	75744 	73272 
A,NR,TOTAL,M,ED6,EE	11906 	11671 	11560 	11743 
A,NR,TOTAL,M,ED6,EL	371629 	383699 	382560 	390917 
A,NR,TOTAL,M,ED6,ES	564017 	560051 	558251 	567244 
A,NR,TOTAL,M,ED6,FI	100511 	101964 	105440 	107691 
A,NR,TOTAL,M,ED6,FR	466343 	508632 	523839 	527210 
A,NR,TOTAL,M,ED6,GE	: 	: 	86779 	86779 
A,NR,TOTAL,M,ED6,HR	42520 	42161 	41004 	39873 
A,NR,TOTAL,M,ED6,HU	85908 	85971 	85529 	93837 
A,NR,TOTAL,M,ED6,IE	81859 	81743 	80384 	82079 
A,NR,TOTAL,M,ED6,IS	5298 	5228 	4764 	: 
A,NR,TOTAL,M,ED6,IT	569038 	577956 	594530 	610542 
A,NR,TOTAL,M,ED6,LI	224 	236 	: 	: 
A,NR,TOTAL,M,ED6,LT	33342 	32551 	32271 	31817 
A,NR,TOTAL,M,ED6,LU	1420 	1319 	1320 	1419 
A,NR,TOTAL,M,ED6,LV	21234 	20315 	20193 	19325 
A,NR,TOTAL,M,ED6,ME	8941 	: 	7396 	6639 
A,NR,TOTAL,M,ED6,MK	21399 	21724 	22852 	21612 
A,NR,TOTAL,M,ED6,MT	4004 bd	4422 	4679 	4904 
A,NR,TOTAL,M,ED6,NL	346550 	336760 	330285 	320210 
A,NR,TOTAL,M,ED6,NO	78577 	79057 	76348 	76493 
A,NR,TOTAL,M,ED6,PL	394535 	396177 	394380 	401933 
A,NR,TOTAL,M,ED6,PT	105401 	120579 	123767 	124429 
A,NR,TOTAL,M,ED6,RO	171454 	167840 	164930 	166865 
A,NR,TOTAL,M,ED6,RS	79070 	78468 	79071 	78487 
A,NR,TOTAL,M,ED6,SE	98148 	94099 	92930 	98185 
A,NR,TOTAL,M,ED6,SI	18656 	18532 	18088 	18033 
A,NR,TOTAL,M,ED6,SK	35575 	35316 	36567 	37136 
A,NR,TOTAL,M,ED6,TR	2370114 	2276959 	1751324 	1706661 
A,NR,TOTAL,M,ED64,AL	: d	: d	: d	: d
A,NR,TOTAL,M,ED64,AT	92104 	89716 	87397 	86440 
A,NR,TOTAL,M,ED64,BA	: m	: m	: m	: m
A,NR,TOTAL,M,ED64,BE	68147 	69684 	69739 	72210 
A,NR,TOTAL,M,ED64,BG	: m	: m	: m	: m
A,NR,TOTAL,M,ED64,CH	79009 	79327 	78422 	78106 
A,NR,TOTAL,M,ED64,CY	: m	: m	: m	: m
A,NR,TOTAL,M,ED64,CZ	82365 	84386 	85097 	87680 
A,NR,TOTAL,M,ED64,DE	916283 	902451 	884030 	854259 
A,NR,TOTAL,M,ED64,DK	35665 	35420 	34202 	33183 
A,NR,TOTAL,M,ED64,EE	: m	: m	: m	: m
A,NR,TOTAL,M,ED64,EL	274066 	281596 	288343 	302388 
A,NR,TOTAL,M,ED64,ES	: d	: d	: d	: d
A,NR,TOTAL,M,ED64,FI	: d	: m	: m	: m
A,NR,TOTAL,M,ED64,FR	357325 	352873 	335705 	328434 
A,NR,TOTAL,M,ED64,GE	: 	: 	: m	: m
A,NR,TOTAL,M,ED64,HR	22453 	22409 	21755 	21427 
A,NR,TOTAL,M,ED64,HU	: d	: d	: d	: d
A,NR,TOTAL,M,ED64,IE	: d	: d	: d	: d
A,NR,TOTAL,M,ED64,IS	: d	: d	: d	: 
A,NR,TOTAL,M,ED64,IT	: m	: m	: m	: m
A,NR,TOTAL,M,ED64,LI	224 	236 	: 	: 
A,NR,TOTAL,M,ED64,LT	19196 	18694 	18743 	18954 
A,NR,TOTAL,M,ED64,LU	719 	671 	638 	705 
A,NR,TOTAL,M,ED64,LV	9023 	8787 	9102 	9179 
A,NR,TOTAL,M,ED64,ME	7402 	: 	6218 	5664 
A,NR,TOTAL,M,ED64,MK	18618 	19726 	21143 	19132 
A,NR,TOTAL,M,ED64,MT	2243 bd	2832 	3101 	3182 
A,NR,TOTAL,M,ED64,NL	106416 	106486 	110140 	111163 
A,NR,TOTAL,M,ED64,NO	78577 	79057 	76348 	76493 
A,NR,TOTAL,M,ED64,PL	314255 	312185 	324221 	332786 
A,NR,TOTAL,M,ED64,PT	: d	: d	: d	: d
A,NR,TOTAL,M,ED64,RO	: d	: d	: d	: d
A,NR,TOTAL,M,ED64,RS	60438 	60521 	61459 	61001 
A,NR,TOTAL,M,ED64,SE	: m	: m	: m	: m
A,NR,TOTAL,M,ED64,SI	9344 	9133 	8752 	8691 
A,NR,TOTAL,M,ED64,SK	: d	: d	: d	: d
A,NR,TOTAL,M,ED64,TR	: m	: m	: m	: m
A,NR,TOTAL,M,ED65,AL	: d	: d	: d	: d
A,NR,TOTAL,M,ED65,AT	: m	: m	: m	: m
A,NR,TOTAL,M,ED65,BA	: m	: m	: m	: m
A,NR,TOTAL,M,ED65,BE	95941 	95322 	93670 	91607 
A,NR,TOTAL,M,ED65,BG	3816 	3547 	2772 	2634 bd
A,NR,TOTAL,M,ED65,CH	30507 	30333 	29854 	30213 
A,NR,TOTAL,M,ED65,CY	: m	: m	: m	: m
A,NR,TOTAL,M,ED65,CZ	4564 	4675 	4700 	4898 
A,NR,TOTAL,M,ED65,DE	157100 	157165 	150687 	146818 
A,NR,TOTAL,M,ED65,DK	43518 	43221 	41542 	40089 
A,NR,TOTAL,M,ED65,EE	: m	: m	: m	: m
A,NR,TOTAL,M,ED65,EL	97563 	102103 	94217 	88529 
A,NR,TOTAL,M,ED65,ES	: d	: d	: d	: d
A,NR,TOTAL,M,ED65,FI	: d	: m	: m	: m
A,NR,TOTAL,M,ED65,FR	108752 	155315 	187687 	196514 
A,NR,TOTAL,M,ED65,GE	: 	: 	: m	: m
A,NR,TOTAL,M,ED65,HR	20067 	19752 	19249 	18446 
A,NR,TOTAL,M,ED65,HU	: d	: d	: d	: d
A,NR,TOTAL,M,ED65,IE	: d	: d	: d	: d
A,NR,TOTAL,M,ED65,IS	: d	: d	: d	: 
A,NR,TOTAL,M,ED65,IT	: m	: m	: m	: m
A,NR,TOTAL,M,ED65,LI	0 	0 	: 	: 
A,NR,TOTAL,M,ED65,LT	14146 	13857 	13528 	12863 
A,NR,TOTAL,M,ED65,LU	702 	648 	683 	714 
A,NR,TOTAL,M,ED65,LV	12211 	11528 	11091 	10146 
A,NR,TOTAL,M,ED65,ME	1539 	: 	1178 	975 
A,NR,TOTAL,M,ED65,MK	2781 	1998 	1709 	2480 
A,NR,TOTAL,M,ED65,MT	1761 bd	1591 	1578 	1722 
A,NR,TOTAL,M,ED65,NL	240134 	230274 	220145 	209047 
A,NR,TOTAL,M,ED65,NO	: m	: m	: m	: m
A,NR,TOTAL,M,ED65,PL	80280 	83992 	70159 	69147 
A,NR,TOTAL,M,ED65,PT	: d	: d	: d	: d
A,NR,TOTAL,M,ED65,RO	: d	: d	: d	: d
A,NR,TOTAL,M,ED65,RS	18632 	17947 	17612 	17486 
A,NR,TOTAL,M,ED65,SE	: m	: m	: m	: m
A,NR,TOTAL,M,ED65,SI	9312 	9399 	9336 	9342 
A,NR,TOTAL,M,ED65,SK	: d	: d	: d	: d
A,NR,TOTAL,M,ED65,TR	: m	: m	: m	: m
A,NR,TOTAL,M,ED7,AL	13928 	14525 	14208 	14428 
A,NR,TOTAL,M,ED7,AT	63894 	65047 	66184 	69661 
A,NR,TOTAL,M,ED7,BA	7574 	6909 	6656 	6555 
A,NR,TOTAL,M,ED7,BE	50852 	52779 	52895 	50106 
A,NR,TOTAL,M,ED7,BG	29137 	28883 	27825 	22552 bd
A,NR,TOTAL,M,ED7,CH	38301 	39996 	40077 	40720 
A,NR,TOTAL,M,ED7,CY	7525 	7587 	7530 	8543 
A,NR,TOTAL,M,ED7,CZ	42725 	43526 	43785 	44160 
A,NR,TOTAL,M,ED7,DE	506746 	511281 	507224 	501847 
A,NR,TOTAL,M,ED7,DK	30107 	29970 	29264 	28879 
A,NR,TOTAL,M,ED7,EE	5577 	5359 	5133 	5068 
A,NR,TOTAL,M,ED7,EL	36576 	38974 	39759 	39583 
A,NR,TOTAL,M,ED7,ES	154041 	163823 	164730 	170831 
A,NR,TOTAL,M,ED7,FI	30802 	32256 	32775 	34252 
A,NR,TOTAL,M,ED7,FR	464307 	469693 	464190 	468300 
A,NR,TOTAL,M,ED7,GE	: 	: 	: d	: d
A,NR,TOTAL,M,ED7,HR	24400 	24020 	23558 	22615 
A,NR,TOTAL,M,ED7,HU	35993 	36893 	35833 	36485 
A,NR,TOTAL,M,ED7,IE	18196 	17258 	16004 	18139 
A,NR,TOTAL,M,ED7,IS	1675 	1648 	1482 	: 
A,NR,TOTAL,M,ED7,IT	321429 	321899 	326114 	339302 
A,NR,TOTAL,M,ED7,LI	203 	187 	: 	: 
A,NR,TOTAL,M,ED7,LT	9510 	9555 	9599 	9542 
A,NR,TOTAL,M,ED7,LU	1269 	1301 	1473 	1546 
A,NR,TOTAL,M,ED7,LV	6935 	6490 	6205 	6280 
A,NR,TOTAL,M,ED7,ME	1021 	: 	1339 	1470 
A,NR,TOTAL,M,ED7,MK	1608 	1485 	1445 	1406 
A,NR,TOTAL,M,ED7,MT	2472 	2484 	2795 	3107 
A,NR,TOTAL,M,ED7,NL	93719 	89035 	88144 	89549 
A,NR,TOTAL,M,ED7,NO	37863 	39548 	38764 	38002 
A,NR,TOTAL,M,ED7,PL	143225 	141815 	143297 	145355 
A,NR,TOTAL,M,ED7,PT	59470 	48910 	48786 	47234 
A,NR,TOTAL,M,ED7,RO	69594 	67637 	65102 	65845 
A,NR,TOTAL,M,ED7,RS	19269 	19220 	18812 	18725 
A,NR,TOTAL,M,ED7,SE	65293 	65238 	63444 	63732 
A,NR,TOTAL,M,ED7,SI	8235 	7917 	7980 	8216 
A,NR,TOTAL,M,ED7,SK	18848 	18265 	18450 	18086 
A,NR,TOTAL,M,ED7,TR	259991 	271585 	321444 	307123 
A,NR,TOTAL,M,ED74,AL	: d	: d	: d	: d
A,NR,TOTAL,M,ED74,AT	63894 	65047 	66184 	69661 
A,NR,TOTAL,M,ED74,BA	: m	: m	: m	: m
A,NR,TOTAL,M,ED74,BE	50852 	52779 	52895 	50106 
A,NR,TOTAL,M,ED74,BG	: m	: m	: m	: m
A,NR,TOTAL,M,ED74,CH	36103 	37855 	37923 	38565 
A,NR,TOTAL,M,ED74,CY	: m	: m	: m	: m
A,NR,TOTAL,M,ED74,CZ	42725 	43526 	43785 	44160 
A,NR,TOTAL,M,ED74,DE	506746 	511281 	507034 	501307 
A,NR,TOTAL,M,ED74,DK	28503 	28294 	27614 	27237 
A,NR,TOTAL,M,ED74,EE	: m	: m	: m	: m
A,NR,TOTAL,M,ED74,EL	36576 	38974 	39759 	39583 
A,NR,TOTAL,M,ED74,ES	: d	: d	: d	: d
A,NR,TOTAL,M,ED74,FI	: d	: m	: m	: m
A,NR,TOTAL,M,ED74,FR	5939 	5949 	6047 	6518 
A,NR,TOTAL,M,ED74,GE	: 	: 	: m	: m
A,NR,TOTAL,M,ED74,HR	20752 	20413 	20011 	19081 
A,NR,TOTAL,M,ED74,HU	: d	: d	: d	: d
A,NR,TOTAL,M,ED74,IE	: d	: d	: d	: d
A,NR,TOTAL,M,ED74,IS	: d	: d	: d	: 
A,NR,TOTAL,M,ED74,IT	: m	: m	: m	: m
A,NR,TOTAL,M,ED74,LI	203 	187 	: 	: 
A,NR,TOTAL,M,ED74,LT	8968 	9024 	9073 	9046 
A,NR,TOTAL,M,ED74,LU	492 	540 	546 	605 
A,NR,TOTAL,M,ED74,LV	2146 	1987 	2068 	2352 
A,NR,TOTAL,M,ED74,ME	962 	: 	1173 	1263 
A,NR,TOTAL,M,ED74,MK	1466 	1358 	1337 	1184 
A,NR,TOTAL,M,ED74,MT	1507 	1467 	1784 	1989 
A,NR,TOTAL,M,ED74,NL	87438 	81107 	80164 	82280 
A,NR,TOTAL,M,ED74,NO	37863 	39548 	38764 	38002 
A,NR,TOTAL,M,ED74,PL	122246 	119771 	122403 	123553 
A,NR,TOTAL,M,ED74,PT	: d	: d	: d	: d
A,NR,TOTAL,M,ED74,RO	: d	: d	: d	: d
A,NR,TOTAL,M,ED74,RS	17275 	17208 	16392 	16196 
A,NR,TOTAL,M,ED74,SE	: m	: m	: m	: m
A,NR,TOTAL,M,ED74,SI	: m	: m	: m	: m
A,NR,TOTAL,M,ED74,SK	: d	: d	: d	: d
A,NR,TOTAL,M,ED74,TR	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,AL	: d	: d	: d	: d
A,NR,TOTAL,M,ED75,AT	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,BA	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,BE	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,BG	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,CH	2198 	2141 	2154 	2155 
A,NR,TOTAL,M,ED75,CY	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,CZ	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,DE	: m	0 	190 	540 
A,NR,TOTAL,M,ED75,DK	1604 	1676 	1650 	1642 
A,NR,TOTAL,M,ED75,EE	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,EL	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,ES	: d	: d	: d	: d
A,NR,TOTAL,M,ED75,FI	: d	: m	: m	: m
A,NR,TOTAL,M,ED75,FR	327370 	332268 	329802 	333224 
A,NR,TOTAL,M,ED75,GE	: 	: 	: m	: m
A,NR,TOTAL,M,ED75,HR	3648 	3607 	3547 	3534 
A,NR,TOTAL,M,ED75,HU	: d	: d	: d	: d
A,NR,TOTAL,M,ED75,IE	: d	: d	: d	: d
A,NR,TOTAL,M,ED75,IS	: d	: d	: d	: 
A,NR,TOTAL,M,ED75,IT	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,LI	0 	0 	: 	: 
A,NR,TOTAL,M,ED75,LT	542 	531 	526 	496 
A,NR,TOTAL,M,ED75,LU	777 	761 	927 	941 
A,NR,TOTAL,M,ED75,LV	4789 	4503 	4137 	3928 
A,NR,TOTAL,M,ED75,ME	59 	: 	166 	207 
A,NR,TOTAL,M,ED75,MK	142 	127 	108 	222 
A,NR,TOTAL,M,ED75,MT	965 	1017 	1011 	1119 
A,NR,TOTAL,M,ED75,NL	6281 	7928 	7980 	7269 
A,NR,TOTAL,M,ED75,NO	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,PL	20979 	22044 	20894 	21802 
A,NR,TOTAL,M,ED75,PT	: d	: d	: d	: d
A,NR,TOTAL,M,ED75,RO	: d	: d	: d	: d
A,NR,TOTAL,M,ED75,RS	1994 	2012 	2420 	2529 
A,NR,TOTAL,M,ED75,SE	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,SI	: m	: m	: m	: m
A,NR,TOTAL,M,ED75,SK	: d	: d	: d	: d
A,NR,TOTAL,M,ED75,TR	: m	: m	: m	: m
A,NR,TOTAL,M,ED8,AL	789 	279 	96 	379 
A,NR,TOTAL,M,ED8,AT	10518 	10850 	10786 	10764 
